spectrum_/vin X,spectrum_/vin Y
9492187.5,-73.74717842117096
9531250,-73.69603589970862
9570312.5,-73.75641552257441
9609375,-73.59033942289925
9648437.5,-73.76567866749031
9687500,-67.91731699181776
9726562.5,-73.77496660105651
9765625,-73.5352689526549
9804687.5,-73.78427802459757
9843750,-73.02736070038986
9882812.5,-73.79361163238701
9921875,-74.13102006416052
9960937.5,-73.80296609764848
10000000,-74.36004218373297
10039062.5,-73.8123401365179
10078125,-73.86748449675326
10117187.5,-73.82173239062466
10156250,-74.03950924623597
10195312.5,-73.83114151016898
10234375,-73.91478963301405
10273437.5,-73.84056615808086
10312500,-73.50098713370909
10351562.5,-73.85000496308774
10390625,-73.21314164176933
10429687.5,-73.8594565482382
10468750,-73.69344800326202
10507812.5,-73.86891950791095
10546875,-73.90453526169372
10585937.5,-73.87839246887761
10625000,-73.74244477087896
10664062.5,-73.88787403502525
10703125,-73.94457660861937
10742187.5,-73.89736274049349
10781250,-74.67443154569213
10820312.5,-73.90685721151941
10859375,-73.91489216254188
10898437.5,-73.91635599231643
10937500,-82.27242441361309
10976562.5,-73.92585762839401
11015625,-74.19423848896062
11054687.5,-73.93536065415931
11093750,-74.44360985052099
11132812.5,-73.94486363518607
11171875,-73.5049736111103
11210937.5,-73.95436509460073
11250000,-74.14655490626318
11289062.5,-73.96386351211095
11328125,-73.55878652902695
11367187.5,-73.97335744201361
11406250,-73.94638955609454
11445312.5,-73.98284537243049
11484375,-74.4079779014851
11523437.5,-73.99232577344954
11562500,-74.11937576731867
11601562.5,-74.0017971465894
11640625,-73.63090328245703
11679687.5,-74.01125796192674
11718750,-73.86856851744975
11757812.5,-74.02070671200528
11796875,-74.00916902985675
11835937.5,-74.03014182326422
11875000,-74.46990263786464
11914062.5,-74.03956176599343
11953125,-74.23547964555206
11992187.5,-74.04896501193969
12031250,-74.32267701642144
12070312.5,-74.05834994997367
12109375,-74.26176356903709
12148437.5,-74.06771504378084
12187500,-74.84200172990282
12226562.5,-74.07705872387406
12265625,-73.97884763217567
12304687.5,-74.0863794193302
12343750,-74.00975447005392
12382812.5,-74.09567552802018
12421875,-73.94282608677366
12460937.5,-74.10494547037428
12500000,-73.78435418984266
12539062.5,-74.11418767277328
12578125,-74.12265901053378
12617187.5,-74.12340050428367
12656250,-74.06080363790289
12695312.5,-74.13258237098054
12734375,-45.31356448063803
12773437.5,-74.14173169241326
12812500,-74.32342268778345
12851562.5,-74.1508468354279
12890625,-73.74735162345482
12929687.5,-74.1599261976138
12968750,-74.26677864709671
13007812.5,-74.16896815016769
13046875,-74.26392192975149
13085937.5,-74.17797110345099
13125000,-74.04526706798433
13164062.5,-74.1869333998615
13203125,-74.36971955855935
13242187.5,-74.19585343599528
13281250,-72.80502718659096
13320312.5,-74.20472959600485
13359375,-74.1236909449204
13398437.5,-74.21356024997323
13437500,-73.74654375561383
13476562.5,-74.22234377021931
13515625,-74.04131451992774
13554687.5,-74.23107852586971
13593750,-73.91476979302303
13632812.5,-74.23976291156758
13671875,-74.3678190639578
