((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y,v /vin; tran (V) X,v /vin; tran (V) Y,v /vinput; tran (V) X,v /vinput; tran (V) Y
2.085586300423142e-11,0.4837143541783946,2.085586300423142e-11,0.4105038292145254,2.085586300423142e-11,0.4000116792832824
2.482594137914793e-11,0.4837089037860576,2.482594137914793e-11,0.4100711418060727,2.482594137914793e-11,0.4000139025271723
2.948611451064726e-11,0.4837129032471332,2.948611451064726e-11,0.4097965236832739,2.948611451064726e-11,0.400016512224126
3.432791144753371e-11,0.4837218041963869,3.432791144753371e-11,0.4096588526034174,3.432791144753371e-11,0.4000192236304106
3.911327271089574e-11,0.4837308268053395,3.911327271089574e-11,0.4095928554097608,3.911327271089574e-11,0.4000219034327182
4.387861674925102e-11,0.4837308259368087,4.387861674925102e-11,0.4095552194089886,4.387861674925102e-11,0.4000245720253796
4.81290166244577e-11,0.4837180451618722,4.81290166244577e-11,0.4095293818341251,4.81290166244577e-11,0.4000269522493097
5.306696078176617e-11,0.4836899104339967,5.306696078176617e-11,0.4094981548061298,5.306696078176617e-11,0.4000297174980378
5.856748083073374e-11,0.483649389146558,5.856748083073374e-11,0.4094564225748971,5.856748083073374e-11,0.4000327977892653
6.51542624980958e-11,0.4835952657874077,6.51542624980958e-11,0.4093986504653753,6.51542624980958e-11,0.400036486386999
7.100726249160213e-11,0.4835427186707769,7.100726249160213e-11,0.4093455449425216,7.100726249160213e-11,0.4000397640669953
