spectrum_v /vinput; tran (V) X,spectrum_v /vinput; tran (V) Y
17968750,-71.93898977519704
18007812.5,-71.93898977558396
18046875,-71.93898977607303
18085937.5,-71.93898977607543
18125000,-71.93898977618511
18164062.5,-71.93898977650464
18203125,-71.93898977653645
18242187.5,-71.93898977653312
18281250,-71.93898977675906
18320312.5,-71.93898977689412
18359375,-71.93898977692564
18398437.5,-71.93898977704411
18437500,-71.93898977712787
18476562.5,-71.9389897770948
18515625,-71.93898977711518
18554687.5,-71.9389897772141
18593750,-71.93898977726829
18632812.5,-71.93898977725922
18671875,-71.93898977733512
18710937.5,-71.93898977736762
18750000,-71.93898977734247
18789062.5,-71.93898977739588
18828125,-71.93898977747699
18867187.5,-71.9389897774843
18906250,-71.93898977748685
18945312.5,-71.93898977754978
18984375,-71.93898977755219
19023437.5,-71.93898977751489
19062500,-71.93898977756473
19101562.5,-71.93898977761864
19140625,-71.93898977760706
19179687.5,-71.93898977760968
19218750,-71.93898977765356
19257812.5,-71.93898977764982
19296875,-71.93898977761475
19335937.5,-71.93898977764768
19375000,-71.93898977769257
19414062.5,-71.93898977770621
19453125,-71.93898977773836
19492187.5,-71.93898977771086
19531250,-71.93898977771107
19570312.5,-71.93898977775557
19609375,-71.93898977773733
19648437.5,-71.93898977773658
19687500,-71.9389897777186
19726562.5,-71.93898977775453
19765625,-71.93898977777616
19804687.5,-71.9389897777056
19843750,-71.93898977783012
19882812.5,-71.93898977779939
19921875,-71.93898977777062
19960937.5,-71.93898977778699
20000000,-77.95958969103965
