spectrum_((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,spectrum_((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y
16679687.5,-83.84781934910032
16718750,-67.28801376235342
16757812.5,-83.87627342070431
16796875,-66.53050015207978
16835937.5,-83.90429053292488
16875000,-55.3030996947124
16914062.5,-83.93185670996579
16953125,-69.87877151081295
16992187.5,-83.95895797145484
17031250,-52.72136801704797
17070312.5,-83.98558034803968
17109375,-69.36782906426561
17148437.5,-84.01170989631026
17187500,-61.22723788295452
17226562.5,-84.03733271634282
17265625,-59.1635431344774
17304687.5,-84.06243496764004
17343750,-65.18438088643231
17382812.5,-84.08700288641548
17421875,-62.03136434000861
17460937.5,-84.11102280475168
17500000,-75.29057758642637
17539062.5,-84.13448116540141
17578125,-9.770059898533049
17617187.5,-84.15736454787316
17656250,-74.45860903471791
17695312.5,-84.17965967374963
17734375,-63.88654074509289
17773437.5,-84.20135344152246
17812500,-64.45418642654252
17851562.5,-84.22243293477429
17890625,-64.12021778607527
17929687.5,-84.24288544763314
17968750,-57.9977126143244
18007812.5,-84.2626985009919
18046875,-67.0015635925745
18085937.5,-84.28185986472364
18125000,-57.42155208893526
18164062.5,-84.30035757657831
18203125,-66.90797238977621
18242187.5,-84.31817996173818
18281250,-59.99242713766779
18320312.5,-84.33531565359972
18359375,-65.34652495505583
18398437.5,-84.35175361212421
18437500,-70.38488977461088
18476562.5,-84.36748314424804
18515625,-68.3408321149149
18554687.5,-84.38249392243627
18593750,-78.17153035141986
18632812.5,-84.39677600340617
18671875,-50.2126074936415
18710937.5,-84.41031984700687
18750000,-77.45797487916133
18789062.5,-84.42311633323362
18828125,-55.88607198594433
18867187.5,-84.43515678037673
18906250,-71.17474437304449
18945312.5,-84.44643296121895
18984375,-64.401087798345
19023437.5,-84.45693711901511
19062500,-69.06276040105398
19101562.5,-84.46666198325822
19140625,-69.14823238368108
19179687.5,-84.47560078347225
19218750,-61.47499595918055
19257812.5,-84.48374726341071
19296875,-65.85486786069241
19335937.5,-84.49109569340743
19375000,-74.32482130070241
19414062.5,-84.49764088212952
19453125,-78.40095301817639
19492187.5,-84.50337818753852
19531250,-62.55562906624226
19570312.5,-84.5083035260499
19609375,-61.40676545571068
19648437.5,-84.51241338154273
19687500,-66.46009341189996
19726562.5,-84.51570481240094
19765625,-58.46645272826161
19804687.5,-84.51817545778086
19843750,-66.55734181559683
19882812.5,-84.51982354282225
19921875,-52.89721180099453
19960937.5,-84.52064788198047
20000000,-71.56504477949119
