(VT("/vin") - 0.6) X,(VT("/vin") - 0.6) Y,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y,/vin X,/vin Y
2.367582395528824e-10,-0.1998674153858503,2.367582395528824e-10,0.1840226067269317,2.367582395528824e-10,0.4001325846141496
2.42460028907293e-10,-0.1998642223838119,2.42460028907293e-10,0.1742713476271751,2.42460028907293e-10,0.4001357776161881
2.478873870290436e-10,-0.1998611830632637,2.478873870290436e-10,0.1656125475559021,2.478873870290436e-10,0.4001388169367363
2.520734721377936e-10,-0.1998588388556028,2.520734721377936e-10,0.1601468292132692,2.520734721377936e-10,0.4001411611443972
2.562304791833883e-10,-0.1998565109316572,2.562304791833883e-10,0.1552957877480955,2.562304791833883e-10,0.4001434890683427
2.623468348748451e-10,-0.19985308577247,2.623468348748451e-10,0.1479077855509991,2.623468348748451e-10,0.40014691422753
2.677446920691426e-10,-0.1998500629724412,2.677446920691426e-10,0.1403638443762574,2.677446920691426e-10,0.4001499370275587
2.687446920691426e-10,-0.1998495029724413,2.687446920691426e-10,0.1388873985653089,2.687446920691426e-10,0.4001504970275587
2.707446920691426e-10,-0.1998483829724412,2.707446920691426e-10,0.136072305564139,2.707446920691426e-10,0.4001516170275587
2.740481620197733e-10,-0.1998465330292689,2.740481620197733e-10,0.1321596910018403,2.740481620197733e-10,0.4001534669707311
2.750481620197733e-10,-0.1998459730292689,2.750481620197733e-10,0.1311639810527436,2.750481620197733e-10,0.4001540269707311
2.770481620197733e-10,-0.1998448530292689,2.770481620197733e-10,0.12948975522355,2.770481620197733e-10,0.4001551469707311
